tripid,hhid,persid,tripno,trippoststratweight,transport_mode,cumdist,linkmode,homesubregion_ASGS,homeregion_ASGS
Y24H5740102P01T01,Y24H5740102,Y24H5740102P01,1,1249.316209438,Private,1.8012,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740102P01T02,Y24H5740102,Y24H5740102P01,2,1249.316209438,Private,1.8012,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740102P01T03,Y24H5740102,Y24H5740102P01,3,1249.316209438,Private,22.89185,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740102P01T04,Y24H5740102,Y24H5740102P01,4,1249.316209438,Private,42.72692,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740102P01T05,Y24H5740102,Y24H5740102P01,5,1249.316209438,Private,48.55273,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740102P02T01,Y24H5740102,Y24H5740102P02,1,652.818030841,Private,12.89117,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740102P02T02,Y24H5740102,Y24H5740102P02,2,652.818030841,Private,0.47899,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740102P02T03,Y24H5740102,Y24H5740102P02,3,652.818030841,Private,0.47899,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740102P02T04,Y24H5740102,Y24H5740102P02,4,652.818030841,Private,12.89117,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740103P01T01,Y24H5740103,Y24H5740103P01,1,531.375373735,Private,3.7239,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740103P01T02,Y24H5740103,Y24H5740103P01,2,531.375373735,Private,3.7239,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740104P01T01,Y24H5740104,Y24H5740104P01,1,482.667095678,Active,2.72681,Walking,MELB - Outer,Greater Melbourne
Y24H5740104P01T02,Y24H5740104,Y24H5740104P01,2,482.667095678,Active,2.72681,Walking,MELB - Outer,Greater Melbourne
Y24H5740109P01T01,Y24H5740109,Y24H5740109P01,1,728.519231022,Active,0.93423,Walking,MELB - Outer,Greater Melbourne
Y24H5740109P01T02,Y24H5740109,Y24H5740109P01,2,728.519231022,Active,0.93423,Walking,MELB - Outer,Greater Melbourne
Y24H5740109P01T03,Y24H5740109,Y24H5740109P01,3,728.519231022,Active,2.56442,Bicycle,MELB - Outer,Greater Melbourne
