Feature,Chi-square,p-value,Cramer's V,Mutual Information,Theil's U
totalvehs,1379.14062,6.032e-274,0.1371,0.02408,0.03707
mainact,1181.38578,2.025e-222,0.12689,0.01834,0.02824
studying,955.68715,4.210e-194,0.11413,0.01307,0.02012
carlicence,885.54376,7.299e-182,0.10986,0.01329,0.02046
dwelltype,522.0946,1.065e-106,0.08436,0.01005,0.01547
homelga,164.44947,2.008e-35,0.082,0.00366,0.00564
hhsize,337.48167,7.015e-59,0.06782,0.00683,0.01051
totalbikes,295.16127,7.230e-44,0.06343,0.00492,0.00758
anywork,58.59052,1.176e-12,0.04895,0.00118,0.00181
persinc_category,111.6676,9.120e-22,0.04778,0.00229,0.00352
owndwell,131.84882,4.940e-24,0.04239,0.00255,0.00393
hhinc_category,53.43994,9.567e-10,0.03305,0.00108,0.00167
sex,19.75408,1.909e-04,0.02842,0.00043,0.00066
