hhid,persid,dayType,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,wasted_time
Y24H5740109,Y24H5740109P03,Weekday,school bus,21,4.78611,23.0,1404.266673306,melb - outer,greater melbourne,2.0
Y24H5740109,Y24H5740109P04,Weekday,school bus,21,4.78611,23.0,2949.606307617,melb - outer,greater melbourne,2.0
Y24H5740109,Y24H5740109P05,Weekday,walking,20,0.93423,20.0,1165.139175907,melb - outer,greater melbourne,0.0
Y24H5740131,Y24H5740131P03,Weekday,school bus,47,24.92903,50.0,1099.835321362,melb - outer,greater melbourne,3.0
Y24H5740131,Y24H5740131P04,Weekday,vehicle passenger,10,1.48545,10.0,1937.859267351,melb - outer,greater melbourne,0.0
Y24H5740337,Y24H5740337P01,Weekday,vehicle driver,30,13.90308,30.0,1730.781281112,melb - inner,greater melbourne,0.0
Y24H5740337,Y24H5740337P02,Weekday,train,48,13.627679999999998,50.0,646.550865959,melb - inner,greater melbourne,2.0
Y24H5740340,Y24H5740340P02,Weekday,walking,25,2.45053,25.0,1008.253901433,melb - inner,greater melbourne,0.0
Y24H5740501,Y24H5740501P03,Weekday,walking,5,0.38306,5.0,517.335691331,melb - outer,greater melbourne,0.0
Y24H5740501,Y24H5740501P04,Weekday,walking,5,0.38306,5.0,517.335691331,melb - outer,greater melbourne,0.0
Y24H5740505,Y24H5740505P03,Weekday,public bus,20,3.20171,20.0,1625.905959139,melb - outer,greater melbourne,0.0
Y24H5740519,Y24H5740519P03,Weekday,walking,10,0.7363,10.0,1276.990443275,melb - outer,greater melbourne,0.0
Y24H5740522,Y24H5740522P03,Weekday,vehicle passenger,14,8.78115,14.0,967.736228875,melb - outer,greater melbourne,0.0
Y24H5740525,Y24H5740525P03,Weekday,walking,5,0.14027,5.0,778.099703464,melb - outer,greater melbourne,0.0
Y24H5740525,Y24H5740525P04,Weekday,walking,5,0.14027,5.0,778.099703464,melb - outer,greater melbourne,0.0
Y24H5740529,Y24H5740529P03,Weekday,vehicle passenger,5,0.53081,5.0,551.824737419,melb - outer,greater melbourne,0.0
Y24H5740530,Y24H5740530P03,Weekday,vehicle passenger,10,5.90582,10.0,269.008335863,melb - outer,greater melbourne,0.0
Y24H5740533,Y24H5740533P03,Weekday,vehicle passenger,10,6.84792,10.0,1420.362420689,melb - outer,greater melbourne,0.0
Y24H5750204,Y24H5750204P02,Weekday,vehicle passenger,25,9.37015,25.0,482.723910037,melb - middle,greater melbourne,0.0
Y24H5750216,Y24H5750216P03,Weekday,vehicle passenger,12,5.68043,12.0,516.056246283,melb - middle,greater melbourne,0.0
Y24H5750233,Y24H5750233P03,Weekday,train,49,13.818639999999998,65.0,795.260765041,melb - middle,greater melbourne,16.0
Y24H5750324,Y24H5750324P03,Weekday,walking,11,1.05425,11.0,955.875355996,melb - middle,greater melbourne,0.0
Y24H5750333,Y24H5750333P03,Weekday,train,36,10.564610000000002,43.0,1198.378620849,melb - middle,greater melbourne,7.0
Y24H5750333,Y24H5750333P04,Weekday,tram,60,8.37898,63.0,1855.386461497,melb - middle,greater melbourne,3.0
Y24H5750401,Y24H5750401P04,Weekday,vehicle passenger,30,28.60725,30.0,548.46914142,melb - outer,greater melbourne,0.0
Y24H5750403,Y24H5750403P04,Weekday,public bus,79,10.56782,100.0,506.567115538,melb - outer,greater melbourne,21.0
Y24H5750403,Y24H5750403P05,Weekday,public bus,13,2.06148,20.0,502.50650724,melb - outer,greater melbourne,7.0
Y24H5750415,Y24H5750415P03,Weekday,vehicle passenger,7,3.47778,7.0,804.057407846,melb - outer,greater melbourne,0.0
Y24H5750418,Y24H5750418P05,Weekday,vehicle passenger,15,2.13441,15.0,1310.362552331,melb - outer,greater melbourne,0.0
Y24H5750420,Y24H5750420P01,Weekend,vehicle driver,110,44.2941,119.0,268.44579161,melb - outer,greater melbourne,9.0
Y24H5750430,Y24H5750430P03,Weekday,vehicle passenger,33,23.42088,33.0,719.659820532,melb - outer,greater melbourne,0.0
Y24H5750430,Y24H5750430P04,Weekday,vehicle passenger,33,23.42088,33.0,1915.100508936,melb - outer,greater melbourne,0.0
