dayType_journey,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS_journey,homeregion_ASGS_journey,wasted_time,num_stops,stop_category,group_travel_distance,journey_label,agegroup,sex,carlicence,mbikelicence,anywork,studying,mainact,persinc,anywfh,persinc_category,hhsize,dwelltype,owndwell,totalbikes,totalvehs,hhinc_group,hhinc_category
Weekday,vehicle driver,25,12.89117,25.0,652.818030841,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,25->29,Male,Full Licence,0,1,No Study,Casual Work,800,No,medium,2,"Unit, Flat or Apartment",Being Rented,0,2,1250,low
Weekday,vehicle driver,4,1.33689,4.0,760.235357962,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,45->49,Female,Full Licence,0,1,No Study,Full-time Work,1000,No,medium,5,Separate House,Being Purchased,5,1,2000,medium
Weekday,vehicle passenger,10,9.42059,10.0,603.756453587,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,25->29,Female,Learners Permit,0,1,No Study,Casual Work,1750,No,high,3,Separate House,Being Rented,1,1,1750,medium
Weekday,vehicle driver,30,20.87897,30.0,348.746406172,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,65->69,Female,Full Licence,0,1,No Study,Full-time Work,1500,No,medium,3,Separate House,Being Purchased,0,2,4000,high
Weekday,vehicle driver,140,189.08695,147.0,696.78161167,melb - outer,greater melbourne,7.0,1,1 stop,40+,1,25->29,Female,Full Licence,0,1,No Study,Full-time Work,2000,Yes,high,3,Separate House,Being Purchased,0,2,4000,high
Weekday,train,73,51.61251,82.0,346.716334742,melb - outer,greater melbourne,9.0,2,2 stops,40+,1,65->69,Male,Full Licence,0,1,No Study,Part-time Work,3000,Yes,high,2,Separate House,Fully Owned,0,2,3500,medium
Weekend,vehicle driver,25,15.39116,28.0,427.276622314,melb - outer,greater melbourne,3.0,1,1 stop,10-20,1,60->64,Female,Full Licence,0,1,No Study,Full-time Work,2000,No,high,1,Separate House,Fully Owned,Missing/Refused,1,2500,medium
Weekday,vehicle driver,21,12.43667,24.0,433.329068446,melb - outer,greater melbourne,3.0,1,1 stop,10-20,1,65->69,Female,Full Licence,0,1,No Study,Full-time Work,1750,No,high,1,Separate House,Fully Owned,0,1,1750,medium
Weekday,vehicle driver,41,42.83731,41.0,734.497298419,melb - outer,greater melbourne,0.0,0,0 stop,40+,1,40->44,Male,Full Licence,0,1,No Study,Full-time Work,1750,Yes,high,4,Separate House,Being Purchased,0,3,3000,medium
Weekday,vehicle driver,11,8.61913,11.0,734.497298419,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,40->44,Male,Full Licence,0,1,No Study,Full-time Work,1750,Yes,high,4,Separate House,Being Purchased,0,3,3000,medium
Weekday,vehicle driver,70,21.92181,70.0,946.335436235,melb - outer,greater melbourne,0.0,1,1 stop,20-40,1,45->49,Female,Full Licence,0,1,No Study,Part-time Work,650,No,medium,4,Separate House,Being Purchased,10,2,4000,high
Weekday,vehicle driver,10,1.03956,10.0,1108.648322595,melb - inner,greater melbourne,0.0,0,0 stop,0-10,1,60->64,Male,Full Licence,0,1,No Study,Full-time Work,2000,Yes,high,2,Separate House,Fully Owned,3,2,2500,medium
