hhid,persid,dayType_journey,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS_journey,homeregion_ASGS_journey,wasted_time,journey_label,travdow,agegroup,sex,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,persinc_category,hhsize,dwelltype,owndwell,aveagegroup_5,hhinc_group,hhinc_category,homelga
Y24H5740102,Y24H5740102P02,Weekday,vehicle driver,25,12.89117,25.0,652.818030841,melb - outer,greater melbourne,0.0,1,Tuesday,25->29,Male,Full Licence,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,4,800,No,0,0,0,0,0,0,0,No,medium,2,"Unit, Flat or Apartment",Being Rented,25->29,1250,low,C
Y24H5740109,Y24H5740109P02,Weekday,vehicle driver,4,1.33689,4.0,760.235357962,melb - outer,greater melbourne,0.0,1,Tuesday,45->49,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,1000,No,0,0,0,0,0,0,0,No,medium,5,Separate House,Being Purchased,25->29,2000,medium,C
Y24H5740110,Y24H5740110P03,Weekday,vehicle passenger,10,9.42059,10.0,603.756453587,melb - outer,greater melbourne,0.0,1,Wednesday,25->29,Female,Learners Permit,0,0,No,0,0,1,1,No Study,No other activity,Casual Work,Paid Employee,At Home,4,1750,No,0,0,0,0,0,0,0,No,high,3,Separate House,Being Rented,45->49,1750,medium,C
Y24H5740111,Y24H5740111P01,Weekday,vehicle driver,30,20.87897,30.0,348.746406172,melb - outer,greater melbourne,0.0,1,Thursday,65->69,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,2,1500,No,0,0,0,0,0,0,0,No,medium,3,Separate House,Being Purchased,40->44,4000,high,C
Y24H5740111,Y24H5740111P02,Weekday,vehicle driver,140,189.08695,147.0,696.78161167,melb - outer,greater melbourne,7.0,1,Thursday,25->29,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,5,2000,Yes,0,1,1,0,1,0,0,No,high,3,Separate House,Being Purchased,40->44,4000,high,C
Y24H5740119,Y24H5740119P01,Weekday,train,73,51.61251,82.0,346.716334742,melb - outer,greater melbourne,9.0,1,Friday,65->69,Male,Full Licence,0,0,No,0,1,0,1,No Study,No other activity,Part-time Work,Paid Employee,At Home,10,3000,Yes,0,1,1,1,0,0,0,No,high,2,Separate House,Fully Owned,65->69,3500,medium,C
Y24H5740120,Y24H5740120P01,Weekend,vehicle driver,25,15.39116,28.0,427.276622314,melb - outer,greater melbourne,3.0,1,Saturday,60->64,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,2000,No,0,0,0,0,0,0,0,No,high,1,Separate House,Fully Owned,60->64,2500,medium,C
Y24H5740123,Y24H5740123P01,Weekday,vehicle driver,21,12.43667,24.0,433.329068446,melb - outer,greater melbourne,3.0,1,Tuesday,65->69,Female,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,4,1750,No,0,0,0,0,0,0,0,No,high,1,Separate House,Fully Owned,65->69,1750,medium,C
Y24H5740129,Y24H5740129P03,Weekday,vehicle driver,41,42.83731,41.0,734.497298419,melb - outer,greater melbourne,0.0,1,Monday,40->44,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,12,1750,Yes,1,1,1,1,1,0,0,Yes,high,4,Separate House,Being Purchased,55->59,3000,medium,C
Y24H5740129,Y24H5740129P03,Weekday,vehicle driver,11,8.61913,11.0,734.497298419,melb - outer,greater melbourne,0.0,1,Monday,40->44,Male,Full Licence,0,0,No,1,0,0,1,No Study,No other activity,Full-time Work,Paid Employee,At Home,12,1750,Yes,1,1,1,1,1,0,0,Yes,high,4,Separate House,Being Purchased,55->59,3000,medium,C
