hhid,persid,dayType,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,wasted_time
Y24H5740102,Y24H5740102P02,Weekday,vehicle driver,25,12.89117,25.0,652.818030841,melb - outer,greater melbourne,0.0
Y24H5740109,Y24H5740109P02,Weekday,vehicle driver,4,1.33689,4.0,760.235357962,melb - outer,greater melbourne,0.0
Y24H5740110,Y24H5740110P03,Weekday,vehicle passenger,10,9.42059,10.0,603.756453587,melb - outer,greater melbourne,0.0
Y24H5740111,Y24H5740111P01,Weekday,vehicle driver,30,20.87897,30.0,348.746406172,melb - outer,greater melbourne,0.0
Y24H5740111,Y24H5740111P02,Weekday,vehicle driver,140,189.08695,147.0,696.78161167,melb - outer,greater melbourne,7.0
Y24H5740119,Y24H5740119P01,Weekday,train,73,51.61251,82.0,346.716334742,melb - outer,greater melbourne,9.0
Y24H5740120,Y24H5740120P01,Weekend,vehicle driver,25,15.39116,28.0,427.276622314,melb - outer,greater melbourne,3.0
Y24H5740123,Y24H5740123P01,Weekday,vehicle driver,21,12.43667,24.0,433.329068446,melb - outer,greater melbourne,3.0
Y24H5740129,Y24H5740129P03,Weekday,vehicle driver,41,42.83731,41.0,734.497298419,melb - outer,greater melbourne,0.0
Y24H5740129,Y24H5740129P03,Weekday,vehicle driver,11,8.61913,11.0,734.497298419,melb - outer,greater melbourne,0.0
Y24H5740131,Y24H5740131P02,Weekday,vehicle driver,70,21.92181,70.0,946.335436235,melb - outer,greater melbourne,0.0
Y24H5740331,Y24H5740331P01,Weekday,vehicle driver,10,1.03956,10.0,1108.648322595,melb - inner,greater melbourne,0.0
Y24H5740340,Y24H5740340P01,Weekday,vehicle driver,35,11.99826,35.0,641.679404901,melb - inner,greater melbourne,0.0
Y24H5740505,Y24H5740505P01,Weekday,vehicle driver,29,17.22882,29.0,477.382773928,melb - outer,greater melbourne,0.0
Y24H5740505,Y24H5740505P01,Weekday,vehicle driver,37,28.58858,37.0,477.382773928,melb - outer,greater melbourne,0.0
Y24H5740510,Y24H5740510P02,Weekday,train,53,44.30265,75.0,306.537486477,melb - outer,greater melbourne,22.0
Y24H5740517,Y24H5740517P01,Weekday,vehicle driver,29,18.98942,29.0,992.235991306,melb - outer,greater melbourne,0.0
Y24H5740517,Y24H5740517P02,Weekday,vehicle passenger,12,7.01617,12.0,649.109169529,melb - outer,greater melbourne,0.0
Y24H5740530,Y24H5740530P02,Weekday,vehicle driver,29,16.82733,29.0,488.765064209,melb - outer,greater melbourne,0.0
Y24H5740533,Y24H5740533P01,Weekday,vehicle driver,60,42.70477,60.0,402.847679723,melb - outer,greater melbourne,0.0
Y24H5740533,Y24H5740533P02,Weekday,vehicle driver,30,13.38469,30.0,503.610819361,melb - outer,greater melbourne,0.0
Y24H5740536,Y24H5740536P01,Weekday,vehicle driver,12,9.24683,12.0,610.972399041,melb - outer,greater melbourne,0.0
Y24H5740539,Y24H5740539P01,Weekday,vehicle driver,20,19.52765,20.0,477.981506367,melb - outer,greater melbourne,0.0
Y24H5740539,Y24H5740539P02,Weekday,vehicle passenger,20,19.52765,20.0,597.537655488,melb - outer,greater melbourne,0.0
Y24H5750123,Y24H5750123P01,Weekday,vehicle driver,4,1.94153,4.0,610.56982043,melb - outer,greater melbourne,0.0
Y24H5750123,Y24H5750123P01,Weekday,vehicle driver,3,1.94153,3.0,610.56982043,melb - outer,greater melbourne,0.0
Y24H5750208,Y24H5750208P01,Weekday,vehicle driver,35,20.61367,35.0,453.38197222,melb - middle,greater melbourne,0.0
Y24H5750208,Y24H5750208P02,Weekday,vehicle driver,30,18.65665,30.0,943.817870751,melb - middle,greater melbourne,0.0
Y24H5750217,Y24H5750217P01,Weekday,vehicle driver,26,17.35503,26.0,482.756360268,melb - middle,greater melbourne,0.0
Y24H5750217,Y24H5750217P02,Weekday,vehicle driver,7,5.34105,7.0,842.910830617,melb - middle,greater melbourne,0.0
Y24H5750218,Y24H5750218P01,Weekday,train,42,18.75461,50.0,648.35110364,melb - middle,greater melbourne,8.0
Y24H5750224,Y24H5750224P01,Weekday,vehicle driver,60,18.61169,60.0,2638.999146045,melb - middle,greater melbourne,0.0
Y24H5750233,Y24H5750233P01,Weekday,vehicle driver,25,17.11809,25.0,795.260765041,melb - middle,greater melbourne,0.0
Y24H5750235,Y24H5750235P02,Weekend,vehicle driver,20,9.22855,20.0,1376.586534104,melb - middle,greater melbourne,0.0
Y24H5750239,Y24H5750239P01,Weekday,vehicle driver,35,13.8802,35.0,1517.558354572,melb - middle,greater melbourne,0.0
Y24H5750239,Y24H5750239P03,Weekday,vehicle driver,60,39.60458,60.0,1393.83663153,melb - middle,greater melbourne,0.0
Y24H5750239,Y24H5750239P05,Weekday,vehicle passenger,35,13.8802,35.0,2364.889079331,melb - middle,greater melbourne,0.0
Y24H5750309,Y24H5750309P02,Weekday,vehicle driver,83,35.70621,85.0,582.490959729,melb - middle,greater melbourne,2.0
Y24H5750320,Y24H5750320P03,Weekend,vehicle passenger,5,2.60045,5.0,1213.573257803,melb - middle,greater melbourne,0.0
Y24H5750320,Y24H5750320P04,Weekend,public bus,22,2.94316,30.0,1213.573257803,melb - middle,greater melbourne,8.0
Y24H5750324,Y24H5750324P01,Weekday,vehicle driver,17,7.73723,17.0,560.101828454,melb - middle,greater melbourne,0.0
Y24H5750333,Y24H5750333P01,Weekday,vehicle driver,35,24.80787,35.0,1861.535584934,melb - middle,greater melbourne,0.0
Y24H5750401,Y24H5750401P01,Weekday,vehicle driver,30,15.49056,30.0,435.600356185,melb - outer,greater melbourne,0.0
Y24H5750401,Y24H5750401P03,Weekday,vehicle driver,60,39.04567,60.0,435.600356185,melb - outer,greater melbourne,0.0
Y24H5750403,Y24H5750403P01,Weekday,vehicle driver,17,19.93495,17.0,309.990096313,melb - outer,greater melbourne,0.0
Y24H5750403,Y24H5750403P03,Weekday,vehicle driver,11,5.64398,11.0,634.455478952,melb - outer,greater melbourne,0.0
Y24H5750404,Y24H5750404P02,Weekday,vehicle driver,55,32.22561,55.0,652.772223378,melb - outer,greater melbourne,0.0
Y24H5750404,Y24H5750404P02,Weekday,vehicle driver,14,8.44761,14.0,652.772223378,melb - outer,greater melbourne,0.0
Y24H5750412,Y24H5750412P01,Weekday,vehicle driver,37,28.92583,37.0,593.33097035,melb - outer,greater melbourne,0.0
Y24H5750415,Y24H5750415P01,Weekday,vehicle driver,43,26.37341,46.0,492.179102597,melb - outer,greater melbourne,3.0
Y24H5750417,Y24H5750417P02,Weekday,vehicle driver,60,31.27082,75.0,412.385160855,melb - outer,greater melbourne,15.0
Y24H5750418,Y24H5750418P01,Weekday,vehicle driver,15,4.08403,15.0,1380.773038408,melb - outer,greater melbourne,0.0
Y24H5750418,Y24H5750418P02,Weekday,vehicle driver,19,13.24665,19.0,1408.518434236,melb - outer,greater melbourne,0.0
Y24H5750418,Y24H5750418P04,Weekday,vehicle passenger,23,17.69918,26.0,821.004997676,melb - outer,greater melbourne,3.0
Y24H5750419,Y24H5750419P02,Weekday,vehicle driver,20,18.8833,20.0,654.960438794,melb - outer,greater melbourne,0.0
Y24H5750420,Y24H5750420P01,Weekend,vehicle driver,84,39.10472,84.0,268.44579161,melb - outer,greater melbourne,0.0
Y24H5750426,Y24H5750426P02,Weekday,train,62,33.8813,81.0,833.300029383,melb - outer,greater melbourne,19.0
Y24H5750430,Y24H5750430P01,Weekday,vehicle driver,63,27.96149,96.0,233.724176394,melb - outer,greater melbourne,33.0
Y24H5750431,Y24H5750431P02,Weekday,vehicle driver,27,26.72967,27.0,785.725277756,melb - outer,greater melbourne,0.0
Y24H5750436,Y24H5750436P02,Weekday,vehicle driver,70,40.40662,70.0,676.477788352,melb - outer,greater melbourne,0.0
Y24H5750437,Y24H5750437P01,Weekday,vehicle driver,34,34.1558,34.0,454.833799575,melb - outer,greater melbourne,0.0
Y24H5750442,Y24H5750442P01,Weekend,vehicle driver,30,22.87616,30.0,663.090476682,melb - outer,greater melbourne,0.0
Y24H5750442,Y24H5750442P02,Weekend,train,38,25.721319999999995,51.0,525.810949524,melb - outer,greater melbourne,13.0
Y24H5760202,Y24H5760202P01,Weekday,vehicle driver,32,21.97216,32.0,273.048878576,melb - outer,greater melbourne,0.0
Y24H5760211,Y24H5760211P01,Weekday,walking,10,0.24657,10.0,336.361571273,melb - outer,greater melbourne,0.0
Y24H5760232,Y24H5760232P01,Weekday,vehicle driver,24,16.5459,61.0,241.052978536,melb - outer,greater melbourne,37.0
Y24H5760232,Y24H5760232P02,Weekday,vehicle driver,20,16.49247,20.0,403.977008152,melb - outer,greater melbourne,0.0
Y24H5760236,Y24H5760236P01,Weekday,vehicle driver,50,44.50977,50.0,430.502795256,melb - outer,greater melbourne,0.0
Y24H5760236,Y24H5760236P02,Weekday,vehicle driver,30,17.33654,30.0,427.32938013,melb - outer,greater melbourne,0.0
Y24H5760237,Y24H5760237P01,Weekday,vehicle driver,30,15.74216,30.0,685.315309558,melb - outer,greater melbourne,0.0
Y24H5760237,Y24H5760237P02,Weekday,vehicle driver,30,16.63501,30.0,680.263565427,melb - outer,greater melbourne,0.0
Y24H5760240,Y24H5760240P01,Weekday,vehicle driver,25,18.21194,25.0,224.064972747,melb - outer,greater melbourne,0.0
Y24H5760326,Y24H5760326P01,Weekday,vehicle driver,20,10.3074,30.0,905.512495177,melb - middle,greater melbourne,10.0
Y24H5760326,Y24H5760326P02,Weekday,vehicle driver,35,15.92315,35.0,771.912267748,melb - middle,greater melbourne,0.0
Y24H5760327,Y24H5760327P02,Weekend,vehicle driver,15,10.19929,15.0,557.399334596,melb - middle,greater melbourne,0.0
Y24H5760329,Y24H5760329P01,Weekday,vehicle driver,7,3.5212000000000003,15.0,415.461610925,melb - middle,greater melbourne,8.0
Y24H5760329,Y24H5760329P02,Weekday,vehicle driver,25,13.85428,25.0,414.578187518,melb - middle,greater melbourne,0.0
Y24H5760330,Y24H5760330P02,Weekday,vehicle driver,52,17.14449,52.0,302.994751815,melb - middle,greater melbourne,0.0
Y24H5760331,Y24H5760331P01,Weekday,vehicle driver,32,12.3182,45.0,774.170193573,melb - middle,greater melbourne,13.0
Y24H5760336,Y24H5760336P02,Weekday,vehicle driver,30,18.33004,30.0,367.427058191,melb - middle,greater melbourne,0.0
Y24H5760425,Y24H5760425P02,Weekday,walking,80,3.60166,80.0,968.281097847,melb - middle,greater melbourne,0.0
Y24H5760502,Y24H5760502P01,Weekday,vehicle driver,38,40.82505,41.0,965.161559068,melb - outer,greater melbourne,3.0
Y24H5760502,Y24H5760502P02,Weekday,vehicle driver,64,49.17357,64.0,1118.194292374,melb - outer,greater melbourne,0.0
Y24H5760511,Y24H5760511P04,Weekday,vehicle driver,89,35.50116,99.0,900.403300052,melb - outer,greater melbourne,10.0
Y24H5760525,Y24H5760525P02,Weekday,train,68,27.35391,84.0,463.590462638,melb - outer,greater melbourne,16.0
Y24H5760533,Y24H5760533P01,Weekday,motorcycle,35,27.62234,35.0,237.84710847,melb - outer,greater melbourne,0.0
Y24H5760533,Y24H5760533P02,Weekday,vehicle driver,36,25.67176,41.0,564.160356736,melb - outer,greater melbourne,5.0
Y24H5760534,Y24H5760534P03,Weekend,vehicle driver,35,24.68133,35.0,808.62788728,melb - outer,greater melbourne,0.0
Y24H5760537,Y24H5760537P02,Weekday,train,61,31.58943,74.0,550.409215302,melb - outer,greater melbourne,13.0
Y24H5760540,Y24H5760540P02,Weekday,vehicle driver,15,4.42473,15.0,648.607500414,melb - outer,greater melbourne,0.0
Y24H5760540,Y24H5760540P03,Weekday,vehicle driver,10,4.42473,10.0,736.592673293,melb - outer,greater melbourne,0.0
Y24H5770209,Y24H5770209P04,Weekday,vehicle driver,45,21.57263,45.0,258.944629875,melb - outer,greater melbourne,0.0
Y24H5770212,Y24H5770212P01,Weekday,vehicle driver,60,54.60913,60.0,1751.831838142,melb - outer,greater melbourne,0.0
Y24H5770216,Y24H5770216P02,Weekday,vehicle driver,55,30.06955,55.0,619.700442978,melb - outer,greater melbourne,0.0
Y24H5770232,Y24H5770232P01,Weekday,vehicle driver,51,27.3657,62.0,967.267770339,melb - outer,greater melbourne,11.0
Y24H5770233,Y24H5770233P01,Weekday,vehicle driver,87,93.57422,87.0,278.794025943,melb - outer,greater melbourne,0.0
Y24H5770237,Y24H5770237P01,Weekday,vehicle driver,32,17.60305,32.0,603.647774423,melb - outer,greater melbourne,0.0
Y24H5770237,Y24H5770237P03,Weekday,vehicle driver,13,10.2296,13.0,528.684711144,melb - outer,greater melbourne,0.0
Y24H5770239,Y24H5770239P01,Weekday,vehicle passenger,8,4.68692,8.0,300.74834746,melb - outer,greater melbourne,0.0
Y24H5770239,Y24H5770239P02,Weekday,train,77,40.7041,94.0,211.723190444,melb - outer,greater melbourne,17.0
Y24H5770240,Y24H5770240P02,Weekday,vehicle driver,15,11.45295,15.0,268.927905453,melb - outer,greater melbourne,0.0
Y24H5770322,Y24H5770322P01,Weekday,train,46,22.93237,46.0,512.760834359,melb - inner,greater melbourne,0.0
Y24H5770324,Y24H5770324P01,Weekday,vehicle passenger,10,3.45612,10.0,689.310954849,melb - inner,greater melbourne,0.0
Y24H5770324,Y24H5770324P02,Weekday,vehicle driver,10,3.45612,10.0,602.915811554,melb - inner,greater melbourne,0.0
Y24H5770335,Y24H5770335P01,Weekend,tram,24,3.7982,25.0,1684.899541279,melb - inner,greater melbourne,1.0
Y24H5770336,Y24H5770336P01,Weekday,vehicle driver,10,2.33578,10.0,907.090036676,melb - inner,greater melbourne,0.0
Y24H5770515,Y24H5770515P01,Weekday,train,39,15.70706,42.0,933.280579153,melb - middle,greater melbourne,3.0
Y24H5770517,Y24H5770517P01,Weekday,train,36,15.73301,40.0,1222.802827926,melb - middle,greater melbourne,4.0
Y24H5770517,Y24H5770517P02,Weekday,bicycle,13,3.00519,13.0,729.649205529,melb - middle,greater melbourne,0.0
Y24H5770530,Y24H5770530P01,Weekday,train,45,15.37453,55.0,1382.685220728,melb - middle,greater melbourne,10.0
Y24H5780104,Y24H5780104P01,Weekday,vehicle passenger,15,12.88479,15.0,1074.646790121,melb - outer,greater melbourne,0.0
Y24H5780104,Y24H5780104P02,Weekday,vehicle driver,30,21.47993,30.0,2596.868376609,melb - outer,greater melbourne,0.0
Y24H5780108,Y24H5780108P02,Weekday,vehicle driver,30,17.70385,30.0,1888.780787493,melb - outer,greater melbourne,0.0
Y24H5780109,Y24H5780109P03,Weekday,vehicle driver,60,55.92191,60.0,4168.97201711,melb - outer,greater melbourne,0.0
Y24H5780109,Y24H5780109P04,Weekday,vehicle driver,20,10.17204,20.0,3070.073611346,melb - outer,greater melbourne,0.0
Y24H5780115,Y24H5780115P02,Weekday,vehicle driver,20,15.14988,20.0,2321.161222544,melb - outer,greater melbourne,0.0
Y24H5780122,Y24H5780122P02,Weekday,vehicle driver,15,10.97208,15.0,895.789193829,melb - outer,greater melbourne,0.0
Y24H5780130,Y24H5780130P01,Weekday,vehicle driver,45,24.84907,45.0,1113.74156571,melb - outer,greater melbourne,0.0
Y24H5780130,Y24H5780130P02,Weekday,vehicle driver,60,33.19111,60.0,2287.012982089,melb - outer,greater melbourne,0.0
Y24H5780130,Y24H5780130P03,Weekday,vehicle driver,45,28.40421,45.0,2474.652409293,melb - outer,greater melbourne,0.0
Y24H5780136,Y24H5780136P01,Weekday,vehicle driver,25,21.92011,25.0,2164.846951774,melb - outer,greater melbourne,0.0
Y24H5780136,Y24H5780136P02,Weekday,vehicle driver,25,20.52874,25.0,1429.48156662,melb - outer,greater melbourne,0.0
Y24H5780138,Y24H5780138P03,Weekday,vehicle driver,20,14.31274,20.0,1893.903533362,melb - outer,greater melbourne,0.0
Y24H5780138,Y24H5780138P05,Weekday,vehicle driver,60,73.2057,60.0,2180.783878628,melb - outer,greater melbourne,0.0
Y24H5780140,Y24H5780140P01,Weekday,vehicle driver,6,3.04119,6.0,1161.273834269,melb - outer,greater melbourne,0.0
Y24H5780140,Y24H5780140P01,Weekday,vehicle driver,20,3.69467,22.0,1161.273834269,melb - outer,greater melbourne,2.0
Y24H5780140,Y24H5780140P02,Weekday,train,78,51.67476,88.0,821.123425848,melb - outer,greater melbourne,10.0
